"","PlanningPortalApplicationNumber","CostOfDevelopment","NumberOfNewDwellings","NumberOfStoreys","ApplicationStatus","ApplicationType","DeterminationAuthority","Council","DevelopmentType","FullAddress","X","Y","StreetNumber1","StreetName","StreetType","Suburb","Postcode","State","StreetNumber2","StreetSuffix","NumberOfExistingLots","AccompaniedByVPAFlag","EPIVariationProposedFlag","SubdivisionProposedFlag","NumberOfProposedLots","LodgementDate","DeterminationDate","AssessmentExhibitionEndDate","AssessmentExhibitionStartDate","DevelopmentSubjectToSICFlag","VariationToDevelopmentStandardsApprovedFlag","ModificationApplicationNumber"
"1725","PAN-392711",14591806,27,6,"Additional Information Requested","Development Application","Unknown","City of Canada Bay Council","Demolition-Residential flat building-Commercial development-Erection of a new structure","15 HILLY STREET MORTLAKE 2137","151.106206896","-33.839397695","15","HILLY","STREET","MORTLAKE","2137","New South Wales",NA,NA,NA,"N","Y",NA,NA,"2023-12-07",NA,"2024-02-07T00:00:00","2023-12-19T00:00:00","N",NA,NA
"1726","PAN-446361",17131592,28,NA,"Under Assessment","Development Application","Unknown","Griffith City Council","Residential flat building-Subdivision-Erection of a new structure-Pathways and paving-Shade structures of canvas, fabric, mesh or the like-Supporting Development","65-67 RAILWAY STREET GRIFFITH 2680","146.045089614","-34.2867224","65","RAILWAY","STREET","GRIFFITH","2680","New South Wales","67",NA,1,"N","N",NA,28,"2024-06-27",NA,"2024-07-26T00:00:00","2024-07-12T00:00:00","N",NA,NA
"1727","PAN-408107",8673395.5,14,2,"Under Assessment","Development Application","Unknown","The Hills Shire Council","Dwelling house-Subdivision","RED GABLES ROAD GABLES 2765 (Proposed Lot 14 & 15)","150.901527122","-33.621171976",NA,NA,NA,NA,NA,NA,NA,NA,1,"N","N","Y",14,"2024-04-26",NA,NA,NA,"N",NA,NA
"1728","PAN-425980",8837858,102,17,"Under Assessment","Development Application","Unknown","Lane Cove Municipal Council","Residential flat building-Alterations or additions to an existing building or structure","13 CANBERRA AVENUE ST LEONARDS 2065","151.193854275","-33.825761514","13","CANBERRA","AVENUE","ST LEONARDS","2065","New South Wales",NA,NA,NA,"N","N",NA,NA,"2024-04-23",NA,"2024-05-27T00:00:00","2024-04-29T00:00:00","N",NA,NA
"1729","PAN-428659",50000000,16,1,"Determined","Development Application","Council","Wagga Wagga City Council","Dwelling house-Erection of a new structure","53 CRAMPTON STREET WAGGA WAGGA 2650","147.36415021","-35.102227946","53","CRAMPTON","STREET","WAGGA WAGGA","2650","New South Wales",NA,NA,NA,"N","N",NA,NA,"2024-05-03","2024-07-03","2024-06-28T00:00:00","2024-06-14T00:00:00","N","N",NA
"1730","PAN-433579",354506540,441,17,"Additional Information Requested","Development Application","Unknown","Ryde City Council","Demolition-Residential flat building-Shop top housing-Commercial development-Subdivision-Erection of a new structure-Earthworks, retaining walls and structural support-Retail Premise-Food and drink premise-Shop-Hours of operation and trading","152-160 ROWE STREET, EASTWOOD","151.081389855","-33.792186629","152","ROWE","STREET","EASTWOOD","2122","New South Wales","160",NA,20,"N","Y",NA,6,"2024-05-13",NA,"2024-06-21T00:00:00","2024-05-20T00:00:00","N",NA,NA
"1731","PAN-441681",8450528,0,NA,"Under Assessment","Development Application","Unknown","Woollahra Municipal Council","Residential flat building-Alterations or additions to an existing building or structure-Residential Accommodation","2-12 EASTBOURNE ROAD DARLING POINT 2027","151.238809801","-33.873056901","2","EASTBOURNE","ROAD","DARLING POINT","2027","New South Wales","12",NA,NA,"N","N",NA,NA,"2024-06-18",NA,"2024-07-25T00:00:00","2024-07-10T00:00:00","N",NA,NA
"1732","PAN-158709",5258812,35,4,"Determined","Development Application","Local Planning Panel","City of Canada Bay Council","Boarding house-Retail premises ","184 VICTORIA ROAD DRUMMOYNE 2047","151.155247919","-33.851395099","184","VICTORIA","ROAD","DRUMMOYNE","2047","New South Wales",NA,NA,4,"N","Y","N",NA,"2021-10-29","2024-07-02","2021-11-19T00:00:00","2021-10-29T00:00:00","N",NA,NA
"1733","PAN-295275",6574000,30,5,"Under Assessment","Development Application","Unknown","Campbelltown City Council","Pools / decks / fencing-Demolition-Residential flat building","6 PALMER STREET INGLEBURN 2565","150.864835289","-34.001036141","6","PALMER","STREET","INGLEBURN","2565","New South Wales",NA,NA,2,"N","N","Y",30,"2023-01-17",NA,"2023-02-28T00:00:00","2023-01-31T00:00:00","N",NA,NA
"1734","PAN-322559",283498289,564,NA,"Determined","Development Application","Sydney / Regional Planning Panel","Penrith City Council","Demolition-Residential flat building-Subdivision of land-Shop top housing-Earthworks / change in levels-Retail premises ","68 O'CONNELL STREET CADDENS 2747","150.735059131","-33.769621651","68","O'CONNELL","STREET","CADDENS","2747","New South Wales",NA,NA,2,"N","Y","Y",2,"2023-04-27","2024-06-28","2023-05-25T00:00:00","2023-05-15T00:00:00","N","N",NA
"1735","PAN-384760",127832372,283,NA,"Additional Information Requested","Development Application","Unknown","Kempsey Shire Council","Residential flat building-Erection of a new structure-Retail Premise-Shop","PHILLIP DRIVE SOUTH WEST ROCKS 2431","153.052766953","-30.890926181","35","PHILLIP","DRIVE","SOUTH WEST ROCKS","2431","New South Wales",NA,NA,NA,"N","N",NA,NA,"2023-11-14",NA,"2023-12-20T00:00:00","2023-11-23T00:00:00","N",NA,NA
"1736","PAN-418550",9524776.8,11,NA,"Under Assessment","Development Application","Unknown","Albury City Council","Residential flat building-Erection of a new structure","103 SUNRISE TERRACE EAST ALBURY 2640","146.941263951","-36.08841144","103","SUNRISE","TERRACE","EAST ALBURY","2640","New South Wales",NA,NA,NA,"N","N",NA,NA,"2024-03-26",NA,NA,NA,NA,NA,NA
"1737","PAN-449493",8018069,1,2,"Cancelled","Development Application","Unknown","Ku-ring-gai Council","Dwelling house-Erection of a new structure","11 GLEN ROAD ROSEVILLE 2069","151.16966743","-33.789722582","11","GLEN","ROAD","ROSEVILLE","2069","New South Wales",NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1738","PAN-306040",9701000,19,3,"Determined","Development Application","Local Planning Panel","Liverpool City Council","Demolition-Multi-dwelling housing","8 MAYBERRY CRESCENT LIVERPOOL 2170","150.914400525","-33.919646699","8","MAYBERRY","CRESCENT","LIVERPOOL","2170","New South Wales",NA,NA,3,"N","N","N",NA,"2023-02-23","2024-06-28",NA,NA,"N",NA,NA
"1739","PAN-364147",19260643,36,4,"Under Assessment","Development Application","Unknown","Tweed Shire Council","Residential flat building","7-9 SHALLOW BAY DRIVE TWEED HEADS SOUTH 2486","153.545422962","-28.20549281","7","SHALLOW BAY","DRIVE","TWEED HEADS SOUTH","2486","New South Wales","9",NA,0,"N","N","N",NA,"2023-09-12",NA,"2023-10-11T00:00:00","2023-09-27T00:00:00","N",NA,NA
"1740","PAN-369105",10900000,28,4,"Additional Information Requested","Development Application","Unknown","City of Parramatta Council","Demolition-Residential flat building-Erection of a new structure","153 PENNANT STREET PARRAMATTA 2150","151.022073284","-33.805517002","153","PENNANT","STREET","PARRAMATTA","2150","New South Wales",NA,NA,NA,"N","Y",NA,NA,"2023-09-28",NA,"2023-11-01T00:00:00","2023-10-11T00:00:00","N",NA,NA
"1741","PAN-375158",5000000,2,4,"Determined","Development Application","Council","Port Stephens Council","Dual occupancy-Demolition-Subdivision-Erection of a new structure-Dual occupancy (attached)","8 SEAVIEW CRESCENT SALAMANDER BAY 2317","152.072859563","-32.712541343","8","SEAVIEW","CRESCENT","SALAMANDER BAY","2317","New South Wales",NA,NA,1,"N","Y","Y",2,"2023-10-25","2024-04-09","2023-11-16T00:00:00","2023-11-02T00:00:00","N",NA,NA
"1742","PAN-284108",12362208.32,57,NA,"Determined","Development Application","Council staff under delegated authority","Blacktown City Council","Multi-dwelling housing","129 KENSINGTON PARK ROAD RIVERSTONE 2765","150.879032987","-33.685391624","129","KENSINGTON PARK","ROAD","RIVERSTONE","2765","New South Wales",NA,NA,NA,"N","N","N",2,"2022-12-19","2024-07-05","2023-02-22T00:00:00","2023-02-08T00:00:00","Y",NA,NA
"1743","PAN-303950",9990515,27,6,"Under Assessment","Development Application","Unknown","Central Coast Council","Shop top housing","19 Young Street, West Gosford NSW 2250","151.329346024","-33.424559773","19","YOUNG","STREET","WEST GOSFORD","2250","New South Wales",NA,NA,2,"N","Y","N",NA,"2023-05-24",NA,"2023-06-26T00:00:00","2023-06-02T00:00:00","N",NA,NA
"1744","PAN-334701",6097605,18,4,"Determined","Development Application","Sydney / Regional Planning Panel","Sutherland Shire Council","Residential flat building","26 ROSEBERY STREET HEATHCOTE 2233","151.007731053","-34.085386522","26","ROSEBERY","STREET","HEATHCOTE","2233","New South Wales",NA,NA,1,"N","Y","N",NA,"2023-06-20","2024-06-19","2023-07-13T00:00:00","2023-06-26T00:00:00","N","Y",NA
"1745","PAN-344806",5781500,2,3,"Additional Information Requested","Development Application","Unknown","Ballina Shire Council","Dwelling-Demolition-Signage-Shop top housing-Mixed use development-Garages, carports and car parking spaces-Restaurant or cafe-Retail premises -Change of use","72 BALLINA STREET LENNOX HEAD 2478","153.593529055","-28.795691474","72","BALLINA","STREET","LENNOX HEAD","2478","New South Wales",NA,NA,NA,"N","Y","N",NA,"2023-08-15",NA,"2023-10-13T00:00:00","2023-09-27T00:00:00","N",NA,NA
"1746","PAN-419593",6774507,10,2,"Withdrawn","Development Application","Unknown","The Council of the Shire of Hornsby","Demolition-Subdivision-Independent living units-Erection of a new structure","134 BURDETT STREET WAHROONGA 2076","151.117493169","-33.705298068","134","BURDETT","STREET","WAHROONGA","2076","New South Wales",NA,NA,2,"N","Y","Y",1,"2024-04-04",NA,"2024-05-02T00:00:00","2024-04-10T00:00:00","N",NA,NA
"1747","PAN-430196",183035738,69,NA,"Additional Information Requested","Development Application","Unknown","Council of the City of Sydney","Demolition-Residential flat building-Commercial development-Alterations or additions to an existing building or structure-Erection of a new structure-Retail Premise-Food and drink premise-Residential Accommodation","93-97 MACQUARIE STREET SYDNEY 2000","151.212670122","-33.862239335","93","MACQUARIE","STREET","SYDNEY","2000","New South Wales","97",NA,NA,NA,NA,NA,NA,"2024-05-07",NA,"2024-06-13T00:00:00","2024-05-16T00:00:00","N",NA,NA
"1748","PAN-443563",36092834,27,8,"Under Assessment","Development Application","Unknown","Ku-ring-gai Council","Demolition-Residential flat building-Commercial development-Subdivision-Erection of a new structure-Change of use of land or a building or the classification of a building under the Building Code of Australia-Residential Accommodation","7-9 Merriwa Street Gordon","151.147434511","-33.752604428","7","MERRIWA","STREET","GORDON","2072","New South Wales","9",NA,1,"N","Y",NA,31,"2024-06-28",NA,"2024-08-14T00:00:00","2024-07-15T00:00:00","N",NA,NA
"1749","PAN-449943",11000000,1,2,"Cancelled","Development Application","Unknown","The Council of the Municipality of Hunters Hill","Dwelling house-Alterations or additions to an existing building or structure","51 RYDE ROAD HUNTERS HILL 2110","151.141538594","-33.83086455","51","RYDE","ROAD","HUNTERS HILL","2110","New South Wales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1750","PAN-449978",7900754,1,2,"Cancelled","Development Application","Unknown","Mid-Coast Council","Dwelling house-Erection of a new structure-Dual occupancy (detached)","CHURCH STREET CARRINGTON 2324","152.016189051","-32.666738208",NA,"CHURCH","STREET","CARRINGTON","2324","New South Wales",NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1751","PAN-450124",75595024,164,8,"Cancelled","Development Application","Unknown","Willoughby City Council","Demolition-Residential flat building-Stormwater management systems-Earthworks / change in levels","452 WILLOUGHBY ROAD WILLOUGHBY 2068","151.199234344","-33.812241119","452","WILLOUGHBY","ROAD","WILLOUGHBY","2068","New South Wales",NA,NA,22,"N","N","N",NA,NA,NA,NA,NA,NA,NA,NA
"1752","PAN-238848",31102500,71,NA,"Additional Information Requested","Development Application","Unknown","Wollongong City Council","Mixed use development-Garages, carports and car parking spaces","37-39 BURELLI STREET WOLLONGONG 2500","150.899195316","-34.427274637","37","BURELLI","STREET","WOLLONGONG","2500","New South Wales","39",NA,NA,"N","Y","N",NA,"2022-07-21",NA,"2022-08-19T00:00:00","2022-08-05T00:00:00","N",NA,NA
"1753","PAN-274861",8507938,1,NA,"Determined","Development Application","Unknown","Woollahra Municipal Council","Dwelling","72 BERESFORD ROAD BELLEVUE HILL 2023","151.256743432","-33.877584511","72","BERESFORD","ROAD","BELLEVUE HILL","2023","New South Wales",NA,NA,NA,"N","N","N",NA,"2022-10-26","2023-03-31","2022-12-01T00:00:00","2022-11-16T00:00:00","N",NA,NA
"1754","PAN-294351",5112112,1,3,"Determined","Development Application","Local Planning Panel","Northern Beaches Council","Dwelling-Pools / decks / fencing-Balconies, decks, patios, terraces or verandahs-Demolition-Stormwater management systems-Earthworks / change in levels-Retaining walls, protection of trees-Garages, carports and car parking spaces","19 MORELLA ROAD WHALE BEACH 2107","151.32954711","-33.610132404","19","MORELLA","ROAD","WHALE BEACH","2107","New South Wales",NA,NA,1,"N","Y","N",NA,"2022-12-29","2023-09-06","2023-01-25T00:00:00","2023-01-09T00:00:00","N","Y",NA
"1755","PAN-314593",21268078,0,5,"Additional Information Requested","Development Application","Unknown","Lake Macquarie City Council","Subdivision of land-Industrial development-Garages, carports and car parking spaces","121 MUNIBUNG ROAD BOOLAROO 2284","151.631011345","-32.939188562","121","MUNIBUNG","ROAD","BOOLAROO","2284","New South Wales",NA,NA,NA,"N","Y","Y",137,"2023-03-24",NA,"2023-04-14T00:00:00","2023-03-24T00:00:00","N",NA,NA
"1756","PAN-341868",9900000,1,3,"Determined","Development Application","Local Planning Panel","Mosman Municipal Council","Dwelling","2 BURRAN AVENUE MOSMAN 2088","151.252511987","-33.816309991","2","BURRAN","AVENUE","MOSMAN","2088","New South Wales",NA,NA,2,"N","Y","N",NA,"2023-06-20","2023-10-18","2023-07-17T00:00:00","2023-06-30T00:00:00","N","Y",NA
"1757","PAN-431625",13366900.8,151,NA,"Under Assessment","Development Application","Unknown","Ryde City Council","Residential flat building-Alterations or additions to an existing building or structure","10 TALAVERA ROAD MACQUARIE PARK 2113","151.121499141","-33.774778623","10","TALAVERA","ROAD","MACQUARIE PARK","2113","New South Wales",NA,NA,NA,NA,"Y",NA,NA,"2024-07-05",NA,"2024-07-31T00:00:00","2024-07-08T00:00:00","N",NA,NA
"1758","PAN-442991",7529816.45,16,4,"Under Assessment","Development Application","Unknown","Wollongong City Council","Shop top housing-Alterations or additions to an existing building or structure","264 KEIRA STREET WOLLONGONG 2500","150.892374638","-34.427643628","264","KEIRA","STREET","WOLLONGONG","2500","New South Wales",NA,NA,NA,"N","N",NA,NA,"2024-07-01",NA,"2024-07-19T00:00:00","2024-07-05T00:00:00","N",NA,NA
"1759","PAN-449504",8018069,1,2,"Cancelled","Development Application","Unknown","Ku-ring-gai Council","Dwelling house-Erection of a new structure","11 GLEN ROAD ROSEVILLE 2069","151.16966743","-33.789722582","11","GLEN","ROAD","ROSEVILLE","2069","New South Wales",NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1760","PAN-58902",8513957,42,2,"Determined","Development Application","Council","Hawkesbury City Council","Dwelling-Semi-attached dwelling-Demolition-Subdivision of land-Earthworks / change in levels-Retaining walls, protection of trees-Garages, carports and car parking spaces","3 O'DELL STREET VINEYARD 2765","150.870200649","-33.645617728","3","O'DELL","STREET","VINEYARD","2765","New South Wales",NA,NA,2,"N","N","Y",42,"2021-01-13","2022-03-01","2021-02-17T00:00:00","2021-02-03T00:00:00","N",NA,NA
"1761","PAN-439512",153000000,209,NA,"Under Assessment","Development Application","Unknown","The Hills Shire Council","Demolition-Seniors housing-Independent living units-Erection of a new structure-Change of use of land or a building or the classification of a building under the Building Code of Australia","7 CADMAN CRESCENT CASTLE HILL 2154","150.991445606","-33.731273444","7","CADMAN","CRESCENT","CASTLE HILL","2154","New South Wales",NA,NA,NA,"N","Y",NA,NA,"2024-06-14",NA,"2024-07-24T00:00:00","2024-07-03T00:00:00","N",NA,NA
"1762","PAN-247470",8284583,9,4,"Determined","Development Application","Land and Environment Court","North Sydney Council","Demolition-Residential flat building-Alterations and additions to residential development-Garages, carports and car parking spaces","112-114 WYCOMBE ROAD NEUTRAL BAY 2089","151.221511372","-33.834276823","112","WYCOMBE","ROAD","NEUTRAL BAY","2089","New South Wales","114",NA,4,"N","Y","Y",9,"2022-08-08","2024-02-13","2022-09-09T00:00:00","2022-08-26T00:00:00","N","Y",NA
"1763","PAN-263442",6038100,69,NA,"Additional Information Requested","Development Application","Unknown","The Hills Shire Council","Demolition-Subdivision of land-Stratum / community title subdivision-Stormwater management systems-Telecommunications and communication facilities-Earthworks / change in levels-Retaining walls, protection of trees","53 STRINGER ROAD NORTH KELLYVILLE 2155","150.945415802","-33.670820144","53","STRINGER","ROAD","NORTH KELLYVILLE","2155","New South Wales",NA,NA,1,"N","N","Y",70,"2022-09-19",NA,"2022-10-31T00:00:00","2022-10-10T00:00:00","Y",NA,NA
"1764","PAN-263442",6038100,69,NA,"Additional Information Requested","Development Application","Unknown","The Hills Shire Council","Demolition-Subdivision of land-Stratum / community title subdivision-Stormwater management systems-Telecommunications and communication facilities-Earthworks / change in levels-Retaining walls, protection of trees","53 STRINGER ROAD NORTH KELLYVILLE 2155","150.945415802","-33.670820144","53","STRINGER","ROAD","NORTH KELLYVILLE","2155","New South Wales",NA,NA,1,"N","N","Y",70,"2022-09-19",NA,"2022-10-31T00:00:00","2022-10-10T00:00:00","Y",NA,NA
"1765","PAN-263481",20179303,4,NA,"Additional Information Requested","Development Application","Unknown","Council of the City of Sydney","Shop top housing","20-26 Bayswater Road, Potts Point","151.223886403","-33.874812015","20","BAYSWATER","ROAD","POTTS POINT","2011","New South Wales","26",NA,NA,"N","Y","N",NA,"2022-09-16",NA,"2022-10-31T00:00:00","2022-10-17T00:00:00","N",NA,NA
"1766","PAN-268487",12141650,15,5,"Determined","Development Application","Land and Environment Court","Mosman Municipal Council","Residential flat building","87 COWLES ROAD MOSMAN 2088","151.238564417","-33.824941466","87","COWLES","ROAD","MOSMAN","2088","New South Wales",NA,NA,NA,"N","Y","Y",15,"2022-10-10","2023-10-04","2022-10-27T00:00:00","2022-10-13T00:00:00","N","Y",NA
"1767","PAN-326042",31833833.9,78,NA,"Additional Information Requested","Development Application","Unknown","Blacktown City Council","Seniors housing","1A CARINYA STREET BLACKTOWN 2148","150.90226428","-33.76926175","1A","CARINYA","STREET","BLACKTOWN","2148","New South Wales",NA,NA,NA,"N","Y",NA,NA,"2023-06-19",NA,"2023-07-18T00:00:00","2023-07-05T00:00:00","N",NA,NA
"1768","PAN-342747",9632994.84,0,NA,"Determined","Development Application","Council staff under delegated authority","Campbelltown City Council","Demolition-Subdivision of land-Stormwater management systems-Telecommunications and communication facilities-Earthworks / change in levels-Retaining walls, protection of trees","APPIN ROAD GILEAD 2560","150.792844372","-34.1522263227",NA,"APPIN","ROAD","GILEAD","2560","New South Wales",NA,NA,2,"N","N","Y",91,"2023-06-20","2024-07-02",NA,NA,"N",NA,NA
"1769","PAN-358862",17596725,44,NA,"Under Assessment","Development Application","Unknown","Bayside Council","Residential flat building","24 WICKHAM STREET ARNCLIFFE 2205","151.150101107","-33.939149769","24","WICKHAM","STREET","ARNCLIFFE","2205","New South Wales",NA,NA,3,"N","Y","Y",44,"2023-08-14",NA,"2023-09-28T00:00:00","2023-08-28T00:00:00","Y",NA,NA
"1770","PAN-400588",10664170,11,NA,"Withdrawn","Development Application","Unknown","Northern Beaches Council","Shop top housing-Erection of a new structure","142-146 PITT ROAD NORTH CURL CURL 2099","151.289323222","-33.7625926705","142","PITT","ROAD","NORTH CURL CURL","2099","New South Wales","146",NA,NA,NA,"Y",NA,NA,"2024-04-17",NA,NA,NA,"N",NA,NA
"1771","PAN-401733",5230000,10,NA,"Under Assessment","Development Application","Unknown","Mid-Coast Council","Demolition-Residential flat building-Erection of a new structure","64 SHORT STREET FORSTER 2428","152.513204534","-32.190656898","64","SHORT","STREET","FORSTER","2428","New South Wales",NA,NA,NA,"N","N",NA,NA,"2024-01-19",NA,"2024-04-03T00:00:00","2024-02-26T00:00:00","N",NA,NA
"1772","PAN-421556",14300000,21,2,"Under Assessment","Development Application","Unknown","Maitland City Council","Multi-dwelling housing-Subdivision-Erection of a new structure","39 FAIRFAX STREET RUTHERFORD 2320","151.520827903","-32.709824484","39","FAIRFAX","STREET","RUTHERFORD","2320","New South Wales",NA,NA,2,"N","N",NA,22,"2024-03-21",NA,NA,NA,"N",NA,NA
"1773","PAN-420679",10428549,45,2,"Additional Information Requested","Development Application","Unknown","Lake Macquarie City Council","Seniors housing-Residential care facility-Alterations or additions to an existing building or structure","3 VIOLET TOWN ROAD MOUNT HUTTON 2290","151.671552703","-32.987521881","3","VIOLET TOWN","ROAD","MOUNT HUTTON","2290","New South Wales",NA,NA,NA,"N","N",NA,NA,"2024-03-26",NA,"2024-04-17T00:00:00","2024-03-26T00:00:00","N",NA,NA
"1774","PAN-437378",45940318,0,0,"Under Assessment","Development Application","Unknown","Council of the City of Sydney","Residential flat building-Alterations or additions to an existing building or structure","155 MITCHELL ROAD ERSKINEVILLE 2043","151.188339328","-33.904648362","155","MITCHELL","ROAD","ERSKINEVILLE","2043","New South Wales",NA,NA,NA,"Y","N",NA,NA,"2024-07-01",NA,"2024-07-31T00:00:00","2024-07-02T00:00:00","N",NA,NA
"1775","PAN-206197",179453411,637,NA,"Deferred Commencement","Development Application","Land and Environment Court","The Hills Shire Council","Residential flat building","34 TERRY ROAD BOX HILL 2765","150.896092663","-33.653713904","34","TERRY","ROAD","BOX HILL","2765","New South Wales","null","null",NA,"N","Y","N",NA,"2022-05-03","2024-05-21","2022-05-30T00:00:00","2022-05-09T00:00:00","Y","Y",NA
"1776","PAN-281712",18673033,0,2,"Determined","Development Application","Council","Cessnock City Council","Residential care facility","30A WEST AVENUE CESSNOCK 2325","151.348818448","-32.83841327","30A","WEST","AVENUE","CESSNOCK","2325","New South Wales",NA,NA,1,"N","N","N",NA,"2022-12-08","2023-09-18",NA,NA,"N","N",NA
"1777","PAN-292632",27792485,108,NA,"Additional Information Requested","Development Application","Unknown","The Hills Shire Council","Residential flat building","23-25 Mason Road Box Hill","150.905051031","-33.657361236",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,"2023-01-13",NA,NA,NA,NA,NA,NA
"1778","PAN-301661",19745885,22,NA,"Additional Information Requested","Development Application","Unknown","Council of the City of Sydney","Demolition-Shop top housing-Mixed use development-Food and drink premises","2 32-34 BAYSWATER ROAD POTTS POINT 2011","151.224293927","-33.874871836","32","BAYSWATER","ROAD","POTTS POINT","2011","New South Wales","34",NA,NA,"N","Y",NA,NA,"2023-02-07",NA,"2023-03-27T00:00:00","2023-02-27T00:00:00","N",NA,NA
"1779","PAN-365061",7186962,3,2,"Under Assessment","Development Application","Unknown","Sutherland Shire Council","Dwelling-Pools / decks / fencing-Multi-dwelling housing-Alterations and additions to residential development-Subdivision of land-Retaining walls, protection of trees-Garages, carports and car parking spaces","698 PORT HACKING ROAD DOLANS BAY 2229","151.127258431","-34.067112912","698","PORT HACKING","ROAD","DOLANS BAY","2229","New South Wales",NA,NA,1,"N","Y","Y",3,"2023-10-04",NA,NA,NA,NA,NA,NA
"1780","PAN-371188",11852855,0,0,"Under Assessment","Development Application","Unknown","Council of the City of Sydney","Residential flat building-Erection of a new structure-Earthworks, retaining walls and structural support","155 MITCHELL ROAD ERSKINEVILLE 2043","151.188339328","-33.904648362","155","MITCHELL","ROAD","ERSKINEVILLE","2043","New South Wales",NA,NA,NA,"Y","N",NA,NA,"2023-09-27",NA,"2023-11-10T00:00:00","2023-10-13T00:00:00","N",NA,NA
"1781","PAN-393744",8949035,12,2,"Determined","Development Application","Council staff under delegated authority","Blue Mountains City Council","Multi-dwelling housing-Residential flat building-Medium Density Housing-Erection of a new structure-Residential Accommodation","11 GLENDARRAH STREET HAZELBROOK 2779","150.455877006","-33.720264156","11","GLENDARRAH","STREET","HAZELBROOK","2779","New South Wales",NA,NA,NA,"N","N",NA,NA,"2024-04-12","2024-07-09",NA,NA,"N",NA,NA
"1782","PAN-400005",5449000,1,NA,"Under Assessment","Development Application","Unknown","Lake Macquarie City Council","Dwelling house-Erection of a new structure-Residential Accommodation","53 BAREKI ROAD ELEEBANA 2282","151.632257718","-32.993760692","53","BAREKI","ROAD","ELEEBANA","2282","New South Wales",NA,NA,NA,NA,NA,NA,NA,"2023-12-19",NA,"2024-02-19T00:00:00","2024-02-01T00:00:00","N",NA,NA
"1783","PAN-436765",45561854,24,5,"Under Assessment","Development Application","Unknown","Willoughby City Council","Demolition-Shop top housing-Erection of a new structure","57-69 Strathallen Avenue, Northbridge","151.211019972","-33.811702417",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,"2024-05-29",NA,NA,NA,"N",NA,NA
"1784","PAN-440633",5408484,1,3,"Additional Information Requested","Development Application","Unknown","Northern Beaches Council","Demolition-Dwelling house-Erection of a new structure-Residential Accommodation","179 RIVERVIEW ROAD AVALON BEACH 2107","151.316617984","-33.618163074","179","RIVERVIEW","ROAD","AVALON BEACH","2107","New South Wales",NA,NA,NA,"N","Y",NA,NA,"2024-06-07",NA,NA,NA,"N",NA,NA
"1785","PAN-442840",8549476,23,1,"Under Assessment","Development Application","Unknown","Albury City Council","Multi-dwelling housing-Medium Density Housing-Erection of a new structure-Residential Accommodation","70 100 TABLE TOP ROAD THURGOONA 2640","146.996382208","-36.056207805","100","TABLE TOP","ROAD","THURGOONA","2640","New South Wales",NA,NA,NA,"N","N",NA,NA,"2024-07-11",NA,NA,NA,"N",NA,NA
"1786","PAN-445783",5975840,118,2,"Under Assessment","Development Application","Unknown","Northern Beaches Council","Residential care facility-Alterations or additions to an existing building or structure","23 BASSETT STREET MONA VALE 2103","151.312557213","-33.6745521542","23","BASSETT","STREET","MONA VALE","2103","New South Wales",NA,NA,NA,"N","N",NA,NA,"2024-07-09",NA,NA,NA,"N",NA,NA
"1787","PAN-448136",6646464,1,4,"Additional Information Requested","Development Application","Unknown","Northern Beaches Council","Demolition-Dwelling house-Erection of a new structure","12-14 ROCK BATH ROAD PALM BEACH 2108","151.329005085","-33.600278167","12","ROCK BATH","ROAD","PALM BEACH","2108","New South Wales","14",NA,2,"N","N",NA,NA,"2024-07-09",NA,NA,NA,"N",NA,NA
"1788","PAN-270005",25027879,44,3,"Under Assessment","Development Application","Unknown","Ballina Shire Council","Shop top housing-Mixed use development-Food and drink premises-Business premises-Office premises-Other","449 RIVER STREET WEST BALLINA","153.538790342","-28.862684118","449","RIVER","STREET","WEST BALLINA","2478","New South Wales",NA,NA,3,"N","N","N",NA,"2023-01-20",NA,"2023-03-24T00:00:00","2023-02-22T00:00:00","N",NA,NA
"1789","PAN-335264",73798105,64,NA,"Under Assessment","Development Application","Unknown","Willoughby City Council","Demolition-Signage-Shop top housing-Mixed use development-Earthworks / change in levels-Business premises-Office premises-Retail premises ","5-9 Gordon Avenue, Chatswood SP57091","151.180295717","-33.802125638","5","GORDON","AVENUE","CHATSWOOD","2067","New South Wales","9",NA,NA,NA,"Y",NA,NA,"2023-07-06",NA,NA,NA,"N",NA,NA
"1790","PAN-346601",15744637,105,NA,"Determined","Development Application","Unknown","Cumberland Council","Shop top housing-Co-living housing","25 STATION ROAD AUBURN 2144","151.036021881","-33.848831036","25","STATION","ROAD","AUBURN","2144","New South Wales",NA,NA,NA,NA,"Y",NA,NA,"2023-07-11","2024-07-10","2023-08-21T00:00:00","2023-08-07T00:00:00","N",NA,NA
